10.0,23.0,0
9.0,13.0,0
10.0,21.0,0
18.0,25.0,1
23.0,22.0,1
13.0,16.0,0
18.0,28.0,1
22.0,13.0,1
22.0,26.0,1
25.0,13.0,1
28.0,11.0,0
22.0,9.0,0
24.0,22.0,1
20.0,29.0,1
11.0,22.0,0
16.0,26.0,1
20.0,15.0,1
20.0,14.0,0
21.0,27.0,1
23.0,14.0,1
20.0,12.0,0
26.0,19.0,1
15.0,14.0,0
10.0,13.0,0
23.0,20.0,1
18.0,20.0,1
24.0,13.0,1
27.0,11.0,0
18.0,15.0,0
11.0,19.0,0
18.0,21.0,1
25.0,17.0,1
15.0,18.0,0
15.0,20.0,1
12.0,21.0,0
16.0,15.0,0
10.0,29.0,0
19.0,24.0,1
22.0,12.0,0
10.0,22.0,0
25.0,16.0,1
15.0,14.0,0
28.0,19.0,1
24.0,12.0,0
15.0,13.0,0
18.0,15.0,0
23.0,21.0,1
29.0,26.0,1
18.0,29.0,1
27.0,26.0,1
23.0,22.0,1
29.0,18.0,1
27.0,13.0,1
10.0,18.0,0
15.0,14.0,0
14.0,17.0,0
29.0,20.0,1
9.0,28.0,0
22.0,20.0,1
21.0,23.0,1
22.0,25.0,1
10.0,14.0,0
16.0,11.0,0
9.0,14.0,0
13.0,19.0,0
19.0,12.0,0
12.0,29.0,1
14.0,15.0,0
24.0,27.0,1
20.0,18.0,1
9.0,12.0,0
19.0,23.0,1
21.0,28.0,1
18.0,21.0,1
17.0,22.0,1
29.0,21.0,1
14.0,26.0,1
15.0,22.0,1
18.0,12.0,0
24.0,12.0,0
26.0,20.0,1
28.0,13.0,1
20.0,19.0,1
17.0,17.0,1
24.0,27.0,1
20.0,25.0,1
12.0,23.0,0
22.0,27.0,1
23.0,28.0,1
15.0,18.0,0
28.0,23.0,1
27.0,26.0,1
16.0,10.0,0
22.0,25.0,1
26.0,13.0,1
25.0,14.0,1
12.0,26.0,1
29.0,20.0,1
16.0,19.0,1
22.0,26.0,1
